ONU,Temperature,Voltage,TX Bias,TX Power,RX Power,Status
EPON0/2:52,42.0,3.27,16.0,2.07,-15.69,Healthy
EPON0/2:53,63.0,3.28,18.0,2.18,-16.96,Healthy
EPON0/2:54,54.0,3.28,15.0,2.24,-17.95,Healthy
EPON0/2:57,50.0,3.3,12.0,2.13,-18.22,Healthy
EPON0/2:59,49.0,3.31,14.0,2.23,-19.72,Healthy
EPON0/2:60,55.0,3.31,14.0,2.36,-20.3,Healthy
EPON0/2:64,51.0,3.31,16.0,2.13,-21.08,Healthy
EPON0/2:68,49.0,3.29,12.0,1.94,-22.19,Healthy
EPON0/2:70,50.0,3.29,13.0,1.99,-23.06,Healthy
EPON0/2:82,49.0,3.27,15.0,2.24,-24.37,Healthy
EPON0/2:85,52.0,3.29,13.0,2.27,-25.7,Warning
EPON0/2:87,49.0,3.28,15.0,2.25,-26.96,Warning
EPON0/2:102,45.0,3.32,17.0,2.11,-27.09,Critical
EPON0/2:104,53.0,3.3,19.0,2.03,-28.23,Critical
EPON0/2:118,49.0,3.35,15.0,2.16,-29.32,Critical
EPON0/2:119,52.0,3.3,23.0,2.29,-14.21,Healthy
EPON0/2:120,53.0,3.27,19.0,2.35,-17.8,Healthy
EPON0/2:122,45.0,3.31,16.0,2.21,-19.64,Healthy
EPON0/2:124,53.0,3.29,9.0,2.33,-20.21,Healthy
